,date,id,link,retweet,text,author
0,Oct 9,785272428905791488,/HillaryClinton/status/785272428905791489,False,Remember. #Debatepic.twitter.com/rlMbTt5WwY,HillaryClinton
1,Oct 10,785455909883568128,/HillaryClinton/status/785455909883568128,False,"If Trump stands by what he said about women as “locker room talk,” he's clearly not sorry.pic.twitter.com/Uhw4795mA9",HillaryClinton
2,Oct 9,785325012152713216,/HillaryClinton/status/785325012152713216,False,She won. http://hrc.io/2dQkjip  #Debatepic.twitter.com/C4MP8cPONF,HillaryClinton
3,15m15 minutes ago,787031849197592576,/HillaryClinton/status/787031849197592576,False,"""We are Black, we are proud, and here’s why we are working to elect Hillary."" @HFA staffers on why they're with her: http://hrc.io/2dCyF2E pic.twitter.com/vEqIo3APBP",HillaryClinton
4,3h3 hours ago,786992309472722944,/HillaryClinton/status/786992309472722946,False,"One adviser called Hillary's efforts to get kids health insurance a ""one-woman army inside the White House.""http://hrc.io/2e4221g ",HillaryClinton
5,5h5 hours ago,786963642080227328,/HillaryClinton/status/786963642080227328,False,"""Everyone knows how bright she is and how resilient she is, but...they're going to see how much she cares."" —@JoeBidenpic.twitter.com/QYF2Ewy55Y",HillaryClinton
6,5h5 hours ago,786958117531742208,/HillaryClinton/status/786958117531742208,False,"""All the progress we've made these last 8 years is on the ballot."" —@POTUS

Make sure you're ready to vote:http://IWillVote.com ",HillaryClinton
7,5h5 hours ago,786956647306522624,/HillaryClinton/status/786956647306522624,False,"""You have a chance to reject the politics of fear. You can lift up again the politics of hope.” —@POTUS http://IWillVote.com ",HillaryClinton
8,5h5 hours ago,786956397766385664,/HillaryClinton/status/786956397766385665,False,"""Change is possible, but it doesn’t just depend on one person—it depends on all of us.” —@POTUS http://hillaryclinton.com/volunteer  #StrongerTogether",HillaryClinton
9,5h5 hours ago,786955912409907200,/HillaryClinton/status/786955912409907200,False,"""She knows that in a democracy as big and diverse as this, we can't demonize each other.” —@POTUS on Hillary",HillaryClinton
10,5h5 hours ago,786954388682203136,/HillaryClinton/status/786954388682203141,False,"""He may be up at 3am, but it’s because he’s tweeting insults at somebody who got under his skin.” —@POTUS on Trump",HillaryClinton
11,5h5 hours ago,786954200584454144,/HillaryClinton/status/786954200584454144,False,“She's got the knowledge and experience and the temperament to be the next Commander-in-Chief.” —@POTUS on Hillary,HillaryClinton
12,6h6 hours ago,786952383079284736,/HillaryClinton/status/786952383079284737,False,"""She's in the arena for you, fighting every day to make sure everybody gets a fair shake.” —@POTUS on Hillary",HillaryClinton
13,6h6 hours ago,786952165575258112,/HillaryClinton/status/786952165575258112,False,"""Hillary is one of the smartest, toughest, best-prepared, most experienced candidates to ever run for this job.” —@POTUS",HillaryClinton
14,6h6 hours ago,786951503064039424,/HillaryClinton/status/786951503064039424,False,"""You can go vote early right now. Early voting started on Wednesday...go to http://IWillVote.com/locate ."" —@POTUS in Ohio",HillaryClinton
15,6h6 hours ago,786938507717640192,/HillaryClinton/status/786938507717640193,False,"What's ""smart"" about not funding America's military, schools, or health care for kids?http://hrc.io/2e3q3Fq ",HillaryClinton
16,7h7 hours ago,786928644056834048,/HillaryClinton/status/786928644056834048,False,"""If you vote for someone other than Hillary—or if you don't vote at all—then you are helping to elect her opponent."" —@FLOTUSpic.twitter.com/KNVEzwjPaT",HillaryClinton
17,9h9 hours ago,786898075444924416,/HillaryClinton/status/786898075444924420,False,"""If we let Hillary's opponent win this election, then we are sending a clear message to our kids."" —@FLOTUS http://IWillVote.com pic.twitter.com/wU4W9Dh9u8",HillaryClinton
18,Oct 12,786374334705233920,/HillaryClinton/status/786374334705233925,False,We have to win this election.,HillaryClinton
19,Oct 11,785894612686757888,/HillaryClinton/status/785894612686757888,False,"Coming out often takes incredible courage. On #NationalComingOutDay, let's honor that courage by showing LGBT Americans we're with them.pic.twitter.com/LBhyK1Ounm",HillaryClinton
20,Oct 4,783474948845305856,/HillaryClinton/status/783474948845305856,False,"""I can't imagine how Governor Pence can defend the insult-driven, selfish, me-first style of Donald Trump."" —@TimKaine #VPDebate",HillaryClinton
21,Oct 4,783473957617954816,/HillaryClinton/status/783473957617954820,False,"Thanks for the kind words, Mike. #VPDebatepic.twitter.com/DfObNG1PM3",HillaryClinton
22,Oct 4,783468914487492608,/HillaryClinton/status/783468914487492609,False,RT to let @TimKaine know you've got his back tonight. #VPDebatepic.twitter.com/XzjUE0cfnp,HillaryClinton
23,Oct 4,783450692879081472,/HillaryClinton/status/783450692879081472,False,"Number of times Trump has tweeted at @Rosie: 65

Number of times Trump has tweeted in support of Mike Pence, his running mate: 21 #VPDebate",HillaryClinton
24,Oct 4,783445177427955712,/HillaryClinton/status/783445177427955713,False,".@TimKaine's spent his whole life fighting for working families, so I have no doubt he'll do the same tonight. Go get 'em, Tim. -H",HillaryClinton
25,Oct 4,783440463122554880,/HillaryClinton/status/783440463122554880,False,"If Trump's decisiveness in choosing Mike Pence as his running mate is any indication, he'll be great at making hard decisions as president.pic.twitter.com/nuqjdkqAEk",HillaryClinton
26,Oct 4,783427721648967680,/HillaryClinton/status/783427721648967681,False,"Before Mike Pence takes the debate stage to defend his running mate, remember the time Trump couldn't decide whether he wanted him at all.pic.twitter.com/DHJ5iibHnP",HillaryClinton
27,Oct 4,783424369754304512,/HillaryClinton/status/783424369754304512,False,"Post-traumatic stress isn't something strong people can handle & weak people can't.

Trump’s comments aren't just ignorant, they’re harmful.",HillaryClinton
28,Oct 4,783410905262456832,/HillaryClinton/status/783410905262456832,False,.@TimKaine is going to finish this campaign the same way he started his career—fighting for working families.pic.twitter.com/c2VlpSRaSM,HillaryClinton
29,Oct 4,783391985512177664,/HillaryClinton/status/783391985512177664,False,"Tonight, Mike Pence will either have to leave Trump out to dry—or try to justify the things they both believe. #VPDebatepic.twitter.com/9PXYCR6zXN",HillaryClinton
30,Oct 4,783382982463631360,/HillaryClinton/status/783382982463631360,False,"Contributing nothing to our military, public schools, kids' health care, and more doesn't make you ""smart.""pic.twitter.com/HKAvxfCigr",HillaryClinton
31,Oct 4,783370529675837440,/HillaryClinton/status/783370529675837441,False,White people need to empathize and understand what it’s like for black parents to worry about their kids' safety.http://www.snappytv.com/tc/2941357 ,HillaryClinton
32,Oct 4,783293344810139648,/HillaryClinton/status/783293344810139648,False,"""I've known Hillary since September of 1958...we were just thinking of the next Nancy Drew book."" —Hillary's lifelong friend, Betsypic.twitter.com/nVs01awNQ6",HillaryClinton
33,Oct 4,783287712405155840,/HillaryClinton/status/783287712405155841,False,"Mike Pence: a divisive, anti-woman, anti-LGBT, anti-worker extremist. 

No wonder Trump picked him. #VPDebatepic.twitter.com/icAN1P5DN2",HillaryClinton
34,Oct 3,783145675563335680,/HillaryClinton/status/783145675563335680,False,".@TimKaine wears his ""F"" rating from the @NRA like a badge of honor.http://hrc.io/2dohCDY ",HillaryClinton
35,Oct 3,783133579719106560,/HillaryClinton/status/783133579719106561,False,"A person who implies that veterans suffering from PTS are not ""strong"" is unfit to be Commander-in-Chief. Period.http://hrc.io/2dod68F ",HillaryClinton
36,Oct 3,783127024663683072,/HillaryClinton/status/783127024663683072,False,"""She is far and away the choice for the presidency of the United States in 2016."" —@NYDailyNewshttp://hrc.io/2dNRS2k ",HillaryClinton
37,Oct 3,783091843613458432,/HillaryClinton/status/783091843613458432,False,"""Hillary has always been a champion for children and their futures."" —@KingJameshttp://read.bi/2cL9Epl ",HillaryClinton
38,Oct 3,783081195282333696,/HillaryClinton/status/783081195282333696,False,Trump’s campaign is bragging that not paying taxes makes him a “genius.”pic.twitter.com/7enA0znwzh,HillaryClinton
39,Oct 3,783050338492379136,/HillaryClinton/status/783050338492379136,False,"It’s Filipino American History Month, so lets honor their many contributions—from serving in WWII to strengthening our labor movement. -H",HillaryClinton
40,Oct 3,783047762824790016,/HillaryClinton/status/783047762824790017,False,Veterans who experience PTS are stronger than we'll ever understand. We owe them nothing short of world-class care:http://hrc.io/2d9Fubu ,HillaryClinton
41,Oct 3,782984294557941760,/HillaryClinton/status/782984294557941760,False,Millions of Americans work hard and pay their taxes. So why doesn't Donald Trump pay his?pic.twitter.com/WLSzIz0ewG,HillaryClinton
42,Oct 3,782959460797059072,/HillaryClinton/status/782959460797059072,False,"In one week, Trump has:
✓Lost a debate
✓Attacked a woman at 5 am on Twitter
✓Had his net worth downgraded
and more:http://hrc.io/2d8LJfS ",HillaryClinton
43,Oct 3,782938924436033536,/HillaryClinton/status/782938924436033536,False,"""Hillary is running on the message of hope and unity that we need."" —@KingJameshttp://read.bi/2cL9Epl ",HillaryClinton
44,Oct 3,782910994263584768,/HillaryClinton/status/782910994263584768,False,"Can a man who lost $1 billion in one year, stiffed small businesses, and may have paid no taxes really claim he's ""good at business""?pic.twitter.com/ZeXgrkJhzj",HillaryClinton
45,Oct 2,782779577240256512,/HillaryClinton/status/782779577240256512,False,"According to @NYTimes, Trump may contribute less to our military and college students than the undocumented immigrants he wants to deport.",HillaryClinton
46,Oct 2,782770554252234752,/HillaryClinton/status/782770554252234752,False,"Newspapers that have endorsed @realDonaldTrump:
1. ...
2. ...
3. (Uh, the National Enquirer?)http://hrc.io/2dL2gaJ ",HillaryClinton
